Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Fanless Mini-PC","MeLE Quieter3Q N5105","","electrical","mcu",1,189.00,189.00,"https://www.amazon.com/s?k=MeLE+Quieter3Q+N5105"
"3-Phase DIN-Rail Energy Meter","Shelly Pro 3EM","","electrical","sensor",1,120.00,120.00,"https://www.amazon.com/dp/B0B4HMM362?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Top 35mm DIN Rail","Slotted Aluminum 35mm DIN Rail","Top section DIN rail for mounting the power supply, UPS module, and ethernet switch.","mechanical","structural",1,4.50,4.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwOxpeMSYKetDHAzzfun70LuWdrOKXeF0HebKKxbceWiiLg9wk6HszvneKPLS7QYAqVBu9JtCB6M7rWHwZUEUywj54TwQ10OtYp50CAmZW67vDXm3vkRtLfrfbrjWsiq6Tu7rNXzR5TPIPfhHIijxtB2pcULnvuhS2LWvbRlxnrwhVnBxVl4dD1Oq8KNIDKmwLhar0Lg18qpQkeWTPTCl4aFOz0Ts0YPXE0JddIB5X4qDzvidwuUcGwysYerHtKlKNzeTFdVeZ1IoY3fPh5XALXnc4lceRRKfjuPJ5l9WOTn7S08kEtUdr0y081KK0wI2yHRj3tsNmxCwyp6Ixi5g8oaDVddfin3zCd7trU2LM0rZYE1fzJXRbZpIAS7oUMbu9AGYVuSir4S3mGGP51aVYcbEHBfHs8E6ZxQtvdIAlssWgtsBMCyotjfx3vxR9sAHXNFDmS2KCyD33mY6vvfeXQDZYN6g3x0lyScf1HEQ2fiFm6io195eIRPvXMnPWWAGZ70yQ2ir42IY3EBpMJosYKWqADnLTT1vOgDl5rrGiGQYrQnB6EqOaHHshxQTBA3Zn6MGLo4A6C01ZwCEEBuuLKxjEBzY9Yzu8dzgB2dtcaldRPfuFWvpCOzJpIVHJ2Ew2ocTN22tib4EPdUZovPqgaJ"
"Bottom 35mm DIN Rail","Slotted Aluminum 35mm DIN Rail","Bottom section DIN rail for housing the energy meter, four load relays, and terminal blocks.","mechanical","structural",1,4.50,4.50,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwOxpeMSYKetDHAzzfun70LuWdrOKXeF0HebKKxbceWiiLg9wk6HszvneKPLS7QYAqVBu9JtCB6M7rWHwZUEUywj54TwQ10OtYp50CAmZW67vDXm3vkRtLfrfbrjWsiq6Tu7rNXzR5TPIPfhHIijxtB2pcULnvuhS2LWvbRlxnrwhVnBxVl4dD1Oq8KNIDKmwLhar0Lg18qpQkeWTPTCl4aFOz0Ts0YPXE0JddIB5X4qDzvidwuUcGwysYerHtKlKNzeTFdVeZ1IoY3fPh5XALXnc4lceRRKfjuPJ5l9WOTn7S08kEtUdr0y081KK0wI2yHRj3tsNmxCwyp6Ixi5g8oaDVddfin3zCd7trU2LM0rZYE1fzJXRbZpIAS7oUMbu9AGYVuSir4S3mGGP51aVYcbEHBfHs8E6ZxQtvdIAlssWgtsBMCyotjfx3vxR9sAHXNFDmS2KCyD33mY6vvfeXQDZYN6g3x0lyScf1HEQ2fiFm6io195eIRPvXMnPWWAGZ70yQ2ir42IY3EBpMJosYKWqADnLTT1vOgDl5rrGiGQYrQnB6EqOaHHshxQTBA3Zn6MGLo4A6C01ZwCEEBuuLKxjEBzY9Yzu8dzgB2dtcaldRPfuFWvpCOzJpIVHJ2Ew2ocTN22tib4EPdUZovPqgaJ"
"Mini-PC VESA DIN Mount","","Custom 3D-printed adapter plate to securely mount the fanless Mini-PC to the top DIN rail while maintaining a 40mm thermal airflow gap.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=PETG+filament+1.75mm"
"Left Wiring Duct","Slotted Cable Management Duct","Slotted plastic wiring trunking to route 230V AC lines neatly and safely on the left side, maintaining physical isolation.","mechanical","structural",1,6.00,6.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxIDiRSPeRb0g633pz6o5fA6PqlWHWlofIdrUHGRlqv6bGTBtitX2mMm9UVf19Iwjqpxms8wJ9j2RS5kxlcZAk4ueYy8wfCbKtrCxSx0XCf16jDs7tJeby3IjDoAeBWexALbXAdV7x0gAGmU2jGaddFXO3qDZkEVPmpiTjOdGJ0VbVOU1q96o47MCdulHwOlsAHmJHE73OwUiceTk9BePdA6hcEqoWPZeK7AXoT8cdk3iB1jcUK08AoCov25Ftt9ggGd1o4PDRg8mFHfn6tdfNA315vcMwHhx0zqC14NKZPtdsOUUtrB66uu7tHgURoECyRs6uuRmKgw1o3xsK54PbhkzXDCZagCgqA71JsruFyswULMa2z8tTpxoM6PHu0dBp2TUSUUV1aZQmWoPqaplGueiq9bkG5K9OQBKI5m6l5RA71UqO2HzaKe83fBSSAedHcWznNthXOcyR8OCvgRSciEUoxkQhT9BL1nugtaoYUQhXPAUXwPEG9PxEvYU4VVSmbELDCsUe7NLSMXTTb23n6cbsEMEtiWERNmmOBNcSdGiqFfqOv0meWR18TuTvQkYJN5hPgpaszz1Xe0bLGyiX3r82RNb2KbyxxL8yCZYNebTtQw4FUoUyXPaASuiLP0em9qsv56nM85rwKOLOSBlDVpv"
"Right Wiring Duct","Slotted Cable Management Duct","Slotted plastic wiring trunking to route 12V DC SELV and Ethernet control signals on the right side.","mechanical","structural",1,6.00,6.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxIDiRSPeRb0g633pz6o5fA6PqlWHWlofIdrUHGRlqv6bGTBtitX2mMm9UVf19Iwjqpxms8wJ9j2RS5kxlcZAk4ueYy8wfCbKtrCxSx0XCf16jDs7tJeby3IjDoAeBWexALbXAdV7x0gAGmU2jGaddFXO3qDZkEVPmpiTjOdGJ0VbVOU1q96o47MCdulHwOlsAHmJHE73OwUiceTk9BePdA6hcEqoWPZeK7AXoT8cdk3iB1jcUK08AoCov25Ftt9ggGd1o4PDRg8mFHfn6tdfNA315vcMwHhx0zqC14NKZPtdsOUUtrB66uu7tHgURoECyRs6uuRmKgw1o3xsK54PbhkzXDCZagCgqA71JsruFyswULMa2z8tTpxoM6PHu0dBp2TUSUUV1aZQmWoPqaplGueiq9bkG5K9OQBKI5m6l5RA71UqO2HzaKe83fBSSAedHcWznNthXOcyR8OCvgRSciEUoxkQhT9BL1nugtaoYUQhXPAUXwPEG9PxEvYU4VVSmbELDCsUe7NLSMXTTb23n6cbsEMEtiWERNmmOBNcSdGiqFfqOv0meWR18TuTvQkYJN5hPgpaszz1Xe0bLGyiX3r82RNb2KbyxxL8yCZYNebTtQw4FUoUyXPaASuiLP0em9qsv56nM85rwKOLOSBlDVpv"
"DIN Rail Screwless End Clamps","Wago 249-116 End Stop","Screwless end stops to prevent lateral movement of DIN modules on the rails.","mechanical","misc",4,1.25,5.00,"https://www.amazon.com/dp/B074V7PV8J?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"M20 Cable Gland Strain Relief","Lapp Kabel Skintop Click M20","IP68 nylon cable entry glands providing high strain relief for incoming mains and outgoing load lines.","mechanical","misc",6,2.10,12.60,"https://www.amazon.com/dp/B000ONSB2C?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Chassis Mounting Screws","Pan Head Self-Tapping Screws M4","Screws used for securing the DIN rails and cable ducts to the internal mounting plate.","mechanical","misc",16,0.15,2.40,"https://www.amazon.com/dp/B0FJDJ316W?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
